hostname,pl_name,sy_pnum,discoverymethod,pl_orbper,radius,mass,siniflag,planettype,joveflag,firstdelta,reference
GJ 876,GJ 876 b,4,Radial Velocity,61.1166,,2.2756,False,N/A,1,0.015627440749000465,Moutou et al. 2023
GJ 876,GJ 876 c,4,Radial Velocity,30.0881,,0.7142,False,N/A,1,0.015627440749000465,Moutou et al. 2023
HD 128311,HD 128311 b,2,Radial Velocity,453.019,,4.317036960948975,False,N/A,1,0.017107450239393973,
HD 128311,HD 128311 c,2,Radial Velocity,921.538,,3.789,False,N/A,1,0.017107450239393973,
HD 155358,HD 155358 b,2,Radial Velocity,194.3,,0.99,True,N/A,1,0.008492022645393504,
HD 155358,HD 155358 c,2,Radial Velocity,391.9,,0.82,True,N/A,1,0.008492022645393504,
HD 27894,HD 27894 b,3,Radial Velocity,18.01939,,0.619,True,N/A,1,0.000866289036421275,
HD 27894,HD 27894 c,3,Radial Velocity,36.07,,0.162,True,N/A,1,0.000866289036421275,
HD 73526,HD 73526 b,2,Radial Velocity,188.3,,3.08,True,N/A,1,0.006638343069569785,Wittenmyer et al. 2014
HD 73526,HD 73526 c,2,Radial Velocity,379.1,,2.25,True,N/A,1,0.006638343069569785,Wittenmyer et al. 2014
HD 82943,HD 82943 b,2,Radial Velocity,441.47,,1.681,False,N/A,1,0.0029853052099710897,Tan et al. 2013
HD 82943,HD 82943 c,2,Radial Velocity,220.078,,1.959,False,N/A,1,0.0029853052099710897,Tan et al. 2013
HIP 67522,HIP 67522 b,2,Transit,6.9594731,0.891,,,N/A,1,0.02988342608867889,
HIP 67522,HIP 67522 c,2,Transit,14.334892,0.708,,,N/A,1,0.02988342608867889,
KOI-134,KOI-134 b,2,Transit,67.1277,1.074,1.09,False,Jovian,1,-0.011374079528718717,Nabbie et al. 2025
KOI-134,KOI-134 c,2,Transit Timing Variations,33.95,,0.22,False,N/A,1,-0.011374079528718717,Nabbie et al. 2025
Kepler-27,Kepler-27 b,3,Transit,15.3348,0.357,9.11,False,Superdense,1,0.021562067976106603,
Kepler-27,Kepler-27 c,3,Transit,31.3309,0.437,13.8,False,Superdense,1,0.021562067976106603,
Kepler-31,Kepler-31 c,3,Transit,42.6318,0.473,4.7,False,Superdense,1,0.027931028011953574,
Kepler-31,Kepler-31 d,3,Transit,87.6451,0.3479347,6.8,False,Superdense,1,0.027931028011953574,
Kepler-9,Kepler-9 b,3,Transit,19.23891,0.73958426,0.13655099,False,Jovian,1,0.013188896876174416,Borsato 2019
Kepler-9,Kepler-9 c,3,Transit,38.9853,0.72084932,0.09407545,False,Superpuff,1,0.013188896876174416,Borsato 2019
TIC 279401253,TIC 279401253 b,2,Transit,76.8,1.0,6.14,False,Jovian,1,0.011067708333333481,
TIC 279401253,TIC 279401253 c,2,Transit,155.3,1.0005577407262352,8.4059026554794,False,Jovian,1,0.011067708333333481,
TOI-216,TOI-216.01,2,Transit,34.525528,0.9010632,0.56,False,Jovian,1,0.005945784357658468,Dawson et al. 2021
TOI-216,TOI-216.02,2,Transit,17.16073,0.71371342,0.059,False,Superpuff,1,0.005945784357658468,Dawson et al. 2021
TOI-4504,TOI-4504 c,3,Transit,82.97213,0.99,3.7672,False,Jovian,1,0.022746244151131467,Vítková et al. 2025
TOI-4504,TOI-4504 d,3,Transit Timing Variations,40.5634,,1.4166,False,N/A,1,0.022746244151131467,Vítková et al. 2025
V1298 Tau,V1298 Tau b,4,Transit,24.140006,0.83950542,0.04121721,False,Superpuff,1,0.008237404746295418,
V1298 Tau,V1298 Tau e,4,Transit,48.677714,0.90730819,0.04813918,False,Superpuff,1,0.008237404746295418,
