firstdelta,hostname,joveflag,pairname,pairtype
0.015627440749000465,GJ 876,1-1,GJ 876 b-GJ 876 c,N/A-N/A
0.017107450239393973,HD 128311,1-1,HD 128311 c-HD 128311 b,N/A-N/A
0.008492022645393504,HD 155358,1-1,HD 155358 c-HD 155358 b,N/A-N/A
0.000866289036421275,HD 27894,1-1,HD 27894 c-HD 27894 b,N/A-N/A
0.006638343069569785,HD 73526,1-1,HD 73526 c-HD 73526 b,N/A-N/A
0.0029853052099710897,HD 82943,1-1,HD 82943 b-HD 82943 c,N/A-N/A
0.02988342608867889,HIP 67522,1-1,HIP 67522 c-HIP 67522 b,N/A-N/A
-0.011374079528718717,KOI-134,1-1,KOI-134 b-KOI-134 c,Jovian-N/A
0.021562067976106603,Kepler-27,1-1,Kepler-27 c-Kepler-27 b,Superdense-Superdense
0.027931028011953574,Kepler-31,1-1,Kepler-31 d-Kepler-31 c,Superdense-Superdense
0.013188896876174416,Kepler-9,1-1,Kepler-9 c-Kepler-9 b,Superpuff-Jovian
0.011067708333333481,TIC 279401253,1-1,TIC 279401253 c-TIC 279401253 b,Jovian-Jovian
0.005945784357658468,TOI-216,1-1,TOI-216.01-TOI-216.02,Jovian-Superpuff
0.022746244151131467,TOI-4504,1-1,TOI-4504 c-TOI-4504 d,Jovian-N/A
0.008237404746295418,V1298 Tau,1-1,V1298 Tau e-V1298 Tau b,Superpuff-Superpuff
